pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
128.7475,-96.75,0.0,top,C42,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7u,smt
129.51,-102.425,180.0,top,C43,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7u,smt
120.0255,-117.232,180.0,top,C44,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
120.0255,-119.482,180.0,top,C45,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
129.888,-117.1945,90.0,top,C46,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10u,smt
129.663,-124.552885,90.0,top,C47,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10u,smt
119.8255,-124.815385,180.0,top,C48,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
119.8005,-126.665385,180.0,top,C49,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
95.035,-91.0,90.0,top,C5,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2200p,smt
82.2975,-91.136395,180.0,top,C50,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7u,smt
82.2975,-92.636395,180.0,top,C51,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7u,smt
81.7725,-99.761395,180.0,top,C52,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7u,smt
81.7725,-98.287395,180.0,top,C53,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7u,smt
129.4975,-103.9,180.0,top,C54,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7u,smt
128.7475,-98.225,0.0,top,C55,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4.7u,smt
108.4375,-142.84,0.0,top,C56,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
108.475,-144.34,0.0,top,C57,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
108.475,-146.35,0.0,top,C58,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
79.725,-70.2,90.0,top,C59,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
108.535,-92.4875,90.0,top,C6,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2200p,smt
79.625,-64.0,90.0,top,C60,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100n,smt
93.075,-108.85,180.0,top,C61,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
93.0875,-113.575,180.0,top,C62,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1u,smt
113.23,-71.9925,90.0,top,C63,,,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,10n,smt
